id,log_recommends
1,3.537852314832762
2,2.917323308628874
5,3.6739512330763198
6,4.599104963050113
11,3.4916435160496224
12,6.000478713921167
21,2.294383451911838
32,2.43756370497109
33,5.267796500481924
57,4.322192676139074
61,3.260521088873622
65,3.0114788057646242
69,2.3534682075083717
70,2.3101866880312127
76,1.6058789609420794
79,5.087817927921881
81,4.455891773708813
82,4.314923102653669
84,5.900548867856262
85,2.7792577751862444
86,4.717314028457974
87,4.682496021875858
88,4.4523194674183495
89,4.147995539781639
92,3.8212376173325704
93,3.329843330140872
94,4.705188005734959
95,3.6754770479589993
96,3.908199093364631
97,3.4351206017961338
100,4.408586416077457
101,3.318889132253516
102,4.537980902933253
103,2.1648429945817784
104,3.7446589134331214
105,5.030279120641868
106,5.23200512711605
108,5.506015037606829
111,5.917493908625264
112,4.084712292067434
116,4.330890756111881
118,2.295466213838133
121,3.0064465621532124
122,3.515955263925735
124,3.2701776140793526
126,4.810953758909752
132,2.892277446346618
135,3.7191274517660604
136,3.9562373881351425
137,3.3459408154509553
141,2.8092637149512387
142,2.2967126647727025
146,4.3208166574199325
152,4.104115997762649
155,2.652034511596842
156,3.306001095218023
159,4.123293488060672
160,2.1250825316657704
164,4.160730032310824
166,4.59815425194875
167,3.029908110949803
176,3.0386914835222387
180,4.9548619019432305
181,2.9831139210574755
194,4.049088830197496
198,2.287573245479423
204,4.0526207704380095
205,4.015683015858935
206,4.445432451406925
212,3.891861820271923
214,2.8466893120052608
228,1.3770185893311666
229,3.2345673997333226
240,3.356110593529766
242,3.4895263495320634
277,3.981478094406279
278,3.1812399485148735
279,3.816146697329233
282,1.8656513636693366
302,1.9504298210810092
308,2.612215313838303
313,2.3204159199257064
348,2.011786198915895
351,2.0949467113026667
362,4.2813932063762845
363,3.219751098290058
379,2.8534096010176464
380,3.7053474107540563
381,2.7901226051398713
387,2.4109075840667855
391,3.6108808937034556
398,1.961490825005347
404,4.148494846810754
407,3.654467831283311
412,3.9674054545938517
416,4.557809651638408
422,2.8467426158330307
436,3.0671120035715087
447,2.819575482321359
448,2.7791649370923337
459,3.1497367596044725
461,3.5383043395041174
463,4.126030076318394
464,4.439518874923147
475,2.6819927264170125
481,2.2899085443236995
488,4.708352044727889
491,2.172948745692464
492,2.628064174774714
495,2.5162878509401603
505,2.407061657414744
506,3.394516149126555
507,3.537334690157186
512,5.1907069949326345
515,4.0317485537899085
516,3.6429270268533314
525,3.2468854810162213
529,3.0750218168153727
532,3.8848204439647995
539,3.1113097462335717
540,3.738103003934652
